Student_ID,Course_Code,Course_Title,Credits,Academic_Year,Semester,Enrollment_Date,Campus_ID,Campus_Name,Source_Campus_File,Upload_Date
RPH20220001,CS202,Web Development,3.0,2024/2025,S1,2025-02-26,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,PHY101,Physics for Engineers,4.0,2025/2026,SEM1,2025-06-01,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,CS102,Data Structures,5.0,2023/2024,S2,2025-12-04,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,CS201,Database Systems,4.0,2023/2024,Semester 1,2025-03-11,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,MTH101,Calculus I,4.0,2025/2026,Semester 1,2025-04-09,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,CS-101,Introduction to Programming,4.0,2025/2026,S1,2025-06-29,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20220001,ENG101,Technical Writing,3.0,2023/2024,Semester 1,2025-05-08,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20250002,ENG101,Technical Writing,3.0,2024/2025,Semester 2,2025-11-01,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20250002,CS302,Cloud Computing,4.0,2024/2025,S2,2025-06-04,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20250002,CS101,Introduction to Programming,4.0,2023/2024,Semester 2,2025-12-22,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20250002,CS301,Machine Learning,5.0,2024/2025,S1,2025-09-20,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20240003,MTH102,Linear Algebra,4.0,2025/2026,Semester 2,2025-07-29,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20240003,cs302,Cloud Computing,4.0,2024/2025,SEM2,2025-12-28,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20240003,PHY101,Physics for Engineers,4.0,2025/2026,S1,2025-09-22,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20240003,CS101,Introduction to Programming,4.0,2023/2024,SEM1,2025-04-28,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20240003,CS202,Web Development,3.0,2023/2024,SEM1,2025-12-18,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230004,CS-201,Database Systems,4.0,2024/2025,Semester 1,2025-06-26,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230004,CS202,Web Development,3.0,2025/2026,Semester 1,2025-06-03,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230004,MTH102,Linear Algebra,4.0,2023/2024,Semester 2,2025-08-12,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230004,ENG101,Technical Writing,3.0,2025/2026,SEM1,2025-05-16,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230005,CS101,Introduction to Programming,4.0,2023/2024,S1,2025-09-24,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
RPH20230005,CS202,Web Development,3.0,2023/2024,SEM1,2025-05-03,RPH,Rwanda Polytechnic Huye,huye/courses.csv,2026-02-12 17:11:54
